start,end,repo,issues,prs,commits
2025-12-10,2025-12-17,openclaw/openclaw,2,5,499
2025-12-10,2025-12-17,torvalds/linux,0,0,1003
2025-12-17,2025-12-24,openclaw/openclaw,10,8,614
2025-12-17,2025-12-24,torvalds/linux,0,0,1205
2025-12-24,2025-12-31,openclaw/openclaw,6,11,293
2025-12-24,2025-12-31,torvalds/linux,0,0,534
2025-12-31,2026-01-07,openclaw/openclaw,115,250,1016
2025-12-31,2026-01-07,torvalds/linux,0,0,1135
2026-01-07,2026-01-14,openclaw/openclaw,166,402,2105
2026-01-07,2026-01-14,torvalds/linux,0,0,2037
2026-01-14,2026-01-21,openclaw/openclaw,216,305,1465
2026-01-14,2026-01-21,torvalds/linux,0,0,2172
2026-01-21,2026-01-28,openclaw/openclaw,1197,1005,1234
2026-01-21,2026-01-28,torvalds/linux,0,0,2200
2026-01-28,2026-02-04,openclaw/openclaw,3112,2783,560
2026-01-28,2026-02-04,torvalds/linux,0,0,1805
2026-02-04,2026-02-11,openclaw/openclaw,2909,2817,492
2026-02-04,2026-02-11,torvalds/linux,0,0,1376
2026-02-11,2026-02-18,openclaw/openclaw,2977,3430,2864
2026-02-11,2026-02-18,torvalds/linux,0,0,566
2026-02-18,2026-02-25,openclaw/openclaw,3075,4092,2493
2026-02-18,2026-02-25,torvalds/linux,0,0,484
2026-02-25,2026-03-04,openclaw/openclaw,2890,5259,2108
2026-02-25,2026-03-04,torvalds/linux,0,0,225
